ciudad	temp	temp_min	temp_max	pressure	humidity	timestamp
Medellín	20.05	19.99	21.07	1015	91	2024-10-17 19:46:08
Medellín	19.64	19.43	21.07	1016	90	2024-10-17 20:42:18
Medellín	19.5	19.29	20.93	1016	90	2024-10-17 20:46:33
